Unnamed: 0,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist,pl_density,insolation,habitable_type,ESI,Bio_Class,v_esc,Atmosphere_Class,Adams_Score,Adams_Category,AstroBiom_Score,cluster_id,Planet_Type_ML
4412,HIP 41378 f,HIP 41378,Transit,2016,9.2,12.0,542.07975,1.3671032088896873,,294.0,1.16,1.273,6320.0,0.3654149704041383,,106.289,0.0154105366976247,1.2411159731867984,Too Hot (Hot Zone),0.2069399029707143,Complex Life Possible,12.775312265391438,Atmosphere Likely,1.5,Marginal (Slow Rotator),3.569399029707143,1.0,Rocky / Super-Earth
4414,TOI-4914 b,TOI-4914,Transit,2024,12.87,227.0,10.60057,0.098,0.408,894.0,1.03,1.0,5805.0,0.00903,,299.89,0.1064854367469907,106.31091317624217,Too Hot (Hot Zone),0.1009900823258536,Extreme Environment,46.9784269059852,Atmosphere Likely,0.0,Not Habitable,1.0099008232585367,0.0,Gas Giant (Jovian)
4418,Kepler-895 b,Kepler-895,Transit,2016,1.54,2.43384370150082,2.806242328,0.0337282972354923,,884.8750794572428,0.65,0.61,4315.0,-0.9365272798062648,,540.134,0.6663931472371165,101.73816195135056,Too Hot (Hot Zone),0.2350997285592021,Extreme Environment,14.06244370989802,Atmosphere Risk (Erosion),0.0,Not Habitable,2.3509972855920216,1.0,Rocky / Super-Earth
4419,TOI-700 c,TOI-700,Transit,2020,2.6,7.158880233383581,16.051137,0.0929,0.068,355.07263900424164,0.415,0.421,3459.0,-1.64016,M2.5 V,31.1265,0.4073099814169083,2.6534357248191416,Too Hot (Hot Zone),0.5995637039718025,Complex Life Possible,18.561398268521742,Atmosphere Likely,4.0,Prime Habitability (Adams 2025),9.995637039718025,1.0,Rocky / Super-Earth
4420,Kepler-1756 b,Kepler-1756,Transit,2021,1.47199944,2.217633370967589,2.355750084,0.0319087412093261,,1195.5841693608888,0.781,0.812,4915.0,-0.4619040028777442,,,0.6952913299395388,339.0600749196496,Too Hot (Hot Zone),0.1540179603804022,Extreme Environment,13.72985234496324,Atmosphere Risk (Erosion),0.0,Not Habitable,1.5401796038040223,1.0,Rocky / Super-Earth
4421,Kepler-258 b,Kepler-258,Transit,2014,4.06,17.92931218301827,13.19722,0.103,,710.2776199764469,,0.915,4942.0,-0.3486569976355737,,575.988,0.2679079051048182,42.23461629684444,Too Hot (Hot Zone),0.2217003392525558,Extreme Environment,23.506805439930375,Atmosphere Likely,0.0,Not Habitable,2.2170033925255583,1.0,Rocky / Super-Earth
4422,Kepler-1869 b,Kepler-1869,Transit,2021,1.11955354,1.261921753883794,8.167360306,0.0790254015333608,,946.19353401037,0.987,0.902,5808.0,-0.0805906441806798,,113.025,0.8992859836885185,133.00743962346212,Too Hot (Hot Zone),0.2350620759953252,Extreme Environment,11.875956407326592,Atmosphere Risk (Erosion),0.0,Not Habitable,2.3506207599532525,1.0,Rocky / Super-Earth
4424,Kepler-351 d,Kepler-351,Transit,2016,2.72,7.856189350595839,142.544247,0.4978150085840993,,315.3792079661636,0.81,0.78,5225.0,-0.3905757655193852,,1083.91,0.3903958840164486,1.6416790744725596,Too Hot (Hot Zone),0.6635879654787307,Complex Life Possible,19.01062233033374,Atmosphere Likely,1.5,Marginal (Slow Rotator),8.135879654787306,1.0,Rocky / Super-Earth
4425,TOI-500 b,TOI-500,Transit,2022,1.166,1.42,0.548177,0.01189,0.063,1617.0,0.74,0.678,4440.0,-0.7951188818401065,K6 V,47.3924,0.895762120139646,1133.7502841704184,Too Hot (Hot Zone),0.1043377831786573,Extreme Environment,12.34439221437682,Atmosphere Risk (Erosion),0.0,Not Habitable,1.0433778317865736,1.0,Rocky / Super-Earth
4426,TOI-2529 b,TOI-2529,Transit,2024,11.54525012,743.71847238,64.5949,0.327,0.021,636.0,1.11,1.7,5802.0,0.46389,,296.271,0.4832796747287454,27.21413248324809,Too Hot (Hot Zone),0.2514099923973729,Extreme Environment,89.77955041042713,Atmosphere Likely,0.0,Not Habitable,2.5140999239737294,0.0,Gas Giant (Jovian)
4427,Kepler-1207 b,Kepler-1207,Transit,2016,1.62,2.7014748576381113,13.68237119,0.1141517877717179,,868.278443152234,1.06,1.06,5909.0,0.0895575404154937,,1754.19,0.6354126934217794,94.31746191628184,Too Hot (Hot Zone),0.2375408792405419,Extreme Environment,14.445007534234785,Atmosphere Risk (Erosion),0.0,Not Habitable,2.3754087924054197,1.0,Rocky / Super-Earth
4428,Kepler-1081 b,Kepler-1081,Transit,2016,1.01,1.0207092017848836,3.856918547,0.0461240802558497,,1099.909487172521,0.88,0.84,5345.0,-0.2867607397297621,,420.215,0.990690295151498,242.8755639297789,Too Hot (Hot Zone),0.194292679908843,Extreme Environment,11.245147156859504,Atmosphere Risk (Erosion),0.0,Not Habitable,1.942926799088431,1.0,Rocky / Super-Earth
4429,Kepler-295 d,Kepler-295,Transit,2014,1.36,1.8840401396629596,33.884054,0.192,,584.3077295987817,,0.898,5603.0,-0.1468749868278303,,1699.19,0.7489855277384933,19.342943166196388,Too Hot (Hot Zone),0.4237259159711835,Extreme Environment,13.165896492213117,Atmosphere Likely,0.0,Not Habitable,4.237259159711836,1.0,Rocky / Super-Earth
4430,Kepler-239 b,Kepler-239,Transit,2014,2.33,5.711539666608108,11.763051,0.095,,671.5356505784242,,0.763,4914.0,-0.5163204655467033,,648.109,0.4515287770899066,33.74677872531842,Too Hot (Hot Zone),0.2965997594936432,Extreme Environment,17.513520422726938,Atmosphere Likely,0.0,Not Habitable,2.9659975949364323,1.0,Rocky / Super-Earth
4432,Kepler-1119 b,Kepler-1119,Transit,2016,1.92,3.833544695899404,8.3265153,0.0832446566056794,,1099.6792219662398,1.11,1.17,6083.0,0.2257328393113037,,1757.23,0.5416226840406918,242.67224453704844,Too Hot (Hot Zone),0.1598974229965018,Extreme Environment,15.80609057207965,Atmosphere Risk (Erosion),0.0,Not Habitable,1.598974229965018,1.0,Rocky / Super-Earth
4433,Kepler-1332 b,Kepler-1332,Transit,2016,1.37,1.912689035777282,11.87456832,0.1001366225053893,,806.8081242400082,0.95,0.9,5581.0,-0.151777041087421,,528.685,0.7438453747024549,70.31323519749311,Too Hot (Hot Zone),0.2770781654597882,Extreme Environment,13.217116425615409,Atmosphere Risk (Erosion),0.0,Not Habitable,2.7707816545978825,1.0,Rocky / Super-Earth
4434,Kepler-254 b,Kepler-254,Transit,2014,3.87,16.243686082564952,5.826662,0.064,,1083.1578818167434,,0.91,5957.0,-0.0289169649951464,,1389.48,0.2802539180374805,228.4141934295456,Too Hot (Hot Zone),0.1253218662297776,Extreme Environment,22.91720377667361,Atmosphere Risk (Erosion),0.0,Not Habitable,1.253218662297776,1.0,Rocky / Super-Earth
4435,Kepler-988 b,Kepler-988,Transit,2016,2.07,4.476091045189764,17.76080053,0.1091530238175105,,425.5553204614866,0.55,0.53,4005.0,-1.1881483291501085,,304.889,0.5046472085143577,5.442270554500962,Too Hot (Hot Zone),0.5367818265986908,Extreme Environment,16.448984754520065,Atmosphere Likely,0.0,Not Habitable,5.367818265986908,1.0,Rocky / Super-Earth
4437,Kepler-1632 b,Kepler-1632,Transit,2016,2.47,6.441035958615096,448.303558,1.1904942851256008,,295.86895753629,1.12,1.19,6137.0,0.2558082658880764,,716.76,0.427429865402821,1.271609125764866,Too Hot (Hot Zone),0.7314033232131126,Complex Life Possible,18.063595530455625,Atmosphere Likely,1.5,Marginal (Slow Rotator),8.814033232131127,1.0,Rocky / Super-Earth
4438,Kepler-608 b,Kepler-608,Transit,2016,3.64,14.31755467735323,6.412515037,0.0675500147114229,,1085.1865504960456,1.0,1.01,5820.0,0.0212245361321264,,946.683,0.2968688973350145,230.13021343296404,Too Hot (Hot Zone),0.128158868209885,Extreme Environment,22.184954805702628,Atmosphere Risk (Erosion),0.0,Not Habitable,1.28158868209885,1.0,Rocky / Super-Earth
