,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist
151,Kepler-1050 c,Kepler-1050,Transit,2016,1.48,,21.1284569,,,,1.09,1.13,6010.0,,,490.488
152,WASP-165 b,WASP-165,Transit,2018,14.12334,209.13214,3.465509,0.04823,0.0,1624.0,1.248,1.75,5599.0,,G6,602.236
153,Kepler-1078 b,Kepler-1078,Transit,2016,1.9,,3.00725242,,,,0.94,0.92,5612.0,,,2481.71
154,GJ 896 A b,GJ 896 A,Astrometry,2022,,718.29219982,284.39,0.63965,0.35,,0.43599,,,,M3.5 V,6.26022
155,HD 97658 b,HD 97658,Radial Velocity,2010,2.12,8.3,9.4897116,,0.05,751.0,0.85,0.728,5212.0,-0.45469,K1 V,21.5618
156,OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L,Microlensing,2014,,57.0,,15.0,,,0.71,,,,,8100.0
157,Kepler-1740 b,Kepler-1740,Transit,2021,3.32321414,,8.172400475,,,,0.943,0.905,5705.0,,,1061.77
158,HD 180053 b,HD 180053,Radial Velocity,2018,,697.31902,213.72,0.843,0.081,,1.75,4.06,5131.0,,,137.043
159,KELT-2 A b,KELT-2 A,Transit,2012,15.13215,540.311,4.11379,,0.0,,1.54,1.93,6327.0,,,134.058
160,OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,Microlensing,2013,,588.0,,0.87,,,0.022,,,,,1760.0
161,Kepler-6 b,Kepler-6,Transit,2009,14.616536,212.31044,3.2346996,0.04852,,1460.0,1.209,1.391,5647.0,,,587.039
162,KOI-94 e,KOI-94,Transit,2013,6.56,35.0,54.32031,0.3046,0.019,584.0,1.277,1.52,6182.0,0.479,,477.052
163,KOI-3503 c,KOI-3503,Transit,2021,1.21,10.36,31.828,,,686.0,0.858,1.255,6001.0,,,887.064
164,HD 47536 b,HD 47536,Radial Velocity,2002,,2330.0,712.13,1.93,0.2,,2.1,23.47,4380.0,,K1 III,122.536
165,WASP-99 b,WASP-99,Transit,2014,11.43318,772.3269,5.75251,,0.0,,1.21,1.64,6150.0,,,158.66
166,Kepler-1658 b,Kepler-1658,Transit,2019,11.99363,1868.8404,3.849372784,0.0544,0.0628,,1.447,2.891,6216.0,,,788.238
167,NGTS-6 b,NGTS-6,Transit,2019,14.863134,425.57437,0.882059,0.01677,0.0,1283.9,0.767,0.754,4730.0,-0.59176,,308.262
168,WASP-45 b,WASP-45,Transit,2011,10.603714,306.38812,3.126089,0.03963,,1153.0,0.85,0.855,5150.0,-0.33555,,211.196
169,WASP-93 b,WASP-93,Transit,2016,17.900773,467.2101,2.7325321,0.04211,0.0,1942.0,1.334,1.524,6700.0,,F4,370.284
170,XO-3 b,XO-3,Transit,2007,15.80469,2316.9807,3.19154,,0.29,,0.58,1.54,6429.0,,,213.053
171,HAT-P-60 b,HAT-P-60,Transit,2021,18.28184752,182.43350562,4.7947813,0.06277,0.25,1772.0,1.435,2.197,6212.0,0.80889,,233.22
