Unnamed: 0,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist,pl_density,insolation,habitable_type,ESI,Bio_Class,v_esc,Atmosphere_Class,Adams_Score,Adams_Category,AstroBiom_Score
599,Kepler-326 c,Kepler-326,Transit,2014,1.4,1.999971253966092,4.580358,0.051,,975.5743459773992,,0.801,5105.0,-0.40786213217252104,,487.675,0.7288524978010541,150.31333674366516,Too Hot (Hot Zone),0.21083323260844536,Extreme Environment,13.369731141292597,Atmosphere Risk (Erosion),0.0,Not Habitable,2.1083323260844535
600,Kepler-760 b,Kepler-760,Transit,2016,3.06,10.013505450580796,8.70419416,0.07965668567839147,,838.3139089405361,0.89,0.85,5322.0,-0.28397281774264693,,792.336,0.34947962345151296,81.95637052748528,Too Hot (Hot Zone),0.19859585051711093,Extreme Environment,20.235184615525156,Atmosphere Likely,0.0,Not Habitable,1.9859585051711093
601,Kepler-1530 b,Kepler-1530,Transit,2016,1.64,2.77062868954735,2.5904434,0.035901990784428774,,1307.549883892544,0.92,0.88,5477.0,-0.20397384201723448,,489.876,0.6281260178200746,485.0528891814664,Too Hot (Hot Zone),0.12998665801984274,Extreme Environment,14.539251681329723,Atmosphere Risk (Erosion),0.0,Not Habitable,1.2998665801984275
602,TOI-4600 b,TOI-4600,Transit,2023,6.8,959.84178914,82.6869,0.349,0.25,347.0,0.89,0.81,5170.0,-0.37675,K V,216.056,3.052621199941482,3.4482531854962732,Too Hot (Hot Zone),0.5006481345672193,Complex Life Possible,132.89853259803687,Atmosphere Likely,1.5,Marginal (Slow Rotator),6.506481345672194
603,LP 791-18 d,LP 791-18,Transit,2023,1.032,0.9,2.753436,0.01992,0.0015,395.5,0.139,0.182,2960.0,-2.63827,M(6.1 +/- 0.7) V,26.4927,0.8188482355851266,5.796306360890113,Too Hot (Hot Zone),0.6985726016054553,Extreme Environment,10.446149117993139,Atmosphere Likely,0.0,Not Habitable,6.985726016054553
604,TOI-5319 b,TOI-5319,Transit,2024,2.83,8.52471870385219,4.07853,0.0506,,695.0,0.5,0.485,3580.0,-1.45905,M,61.171,0.37611508362371726,13.572159859048663,Too Hot (Hot Zone),0.26367509527476124,Extreme Environment,19.414295061778052,Atmosphere Likely,0.0,Not Habitable,2.6367509527476125
605,K2-250 b,K2-250,Transit,2018,2.71257333,7.81206528786611,4.01392,0.04606,0.21,1003.0,0.809,0.797,5003.0,-0.44491,,414.708,0.3914005231353225,169.21627584025921,Too Hot (Hot Zone),0.16140792108980198,Extreme Environment,18.983094221791312,Atmosphere Risk (Erosion),0.0,Not Habitable,1.6140792108980198
606,Kepler-229 b,Kepler-229,Transit,2014,2.2,5.07447038755576,6.252972,0.062,,846.0056450318781,,0.728,5120.0,-0.48576754750331513,,826.265,0.47656558861342585,85.00590072140626,Too Hot (Hot Zone),0.22193017852818783,Extreme Environment,16.988648698170266,Atmosphere Risk (Erosion),0.0,Not Habitable,2.2193017852818784
607,Kepler-1187 b,Kepler-1187,Transit,2016,2.61,7.215716223311571,18.87064068,0.1414380419822864,,799.8370099348657,1.06,1.09,5975.0,0.13309448432923585,,1020.53,0.40584287241142364,67.91442269650292,Too Hot (Hot Zone),0.2251977243428755,Extreme Environment,18.599200830738063,Atmosphere Likely,0.0,Not Habitable,2.251977243428755
608,Kepler-1821 b,Kepler-1821,Transit,2021,2.59248115,7.116298407504614,16.45809937,0.12430540584671372,,704.0422190824048,0.946,0.884,5475.0,-0.20066912595794265,,799.699,0.40842030859424017,40.77095106500104,Too Hot (Hot Zone),0.2679939201979435,Extreme Environment,18.53293006304744,Atmosphere Likely,0.0,Not Habitable,2.679939201979435
